category,food_id,food_name,calorie,water,protein,fat,cholesterol,carb,fiber,ash
1,1001,アマランサス　玄穀　,358,13.5,12.7,6,0,64.9,7.4,2.9
1,1002,あわ　精白粒　,367,13.3,11.2,4.4,0,69.7,3.3,1.4
1,1003,あわ　あわもち　,214,48,5.1,1.3,0,45.3,1.5,0.3
1,1004,えんばく オートミール　,380,10,13.7,5.7,0,69.1,9.4,1.5
1,1005,おおむぎ 七分つき押麦　,341,14,10.9,2.1,0,72.1,10.3,0.9
1,1006,おおむぎ　押麦　,340,14,6.2,1.3,0,77.8,9.6,0.7
1,1007,おおむぎ　米粒麦　,343,14,7,2.1,0,76.2,8.7,0.7
1,1008,おおむぎ　大麦めん　乾　,339,14,12.9,1.7,0,68,6.3,3.4
1,1009,おおむぎ　大麦めん　ゆで　,122,70,4.8,0.6,0,24.3,2.5,0.3
1,1010,おおむぎ　麦こがし　,391,3.5,12.5,5,0,77.1,15.5,1.9
1,1011,きび　精白粒　　　,363,13.8,11.3,3.3,0,70.9,1.6,0.7
1,1012,こむぎ　［玄穀］　国産　普通　,337,12.5,10.6,3.1,0,72.2,10.8,1.6
1,1013,こむぎ　［玄穀］　輸入　軟質　,348,10,10.1,3.3,0,75.2,11.2,1.4
1,1014,こむぎ　［玄穀］　輸入　硬質　,334,13,13,3,0,69.4,11.4,1.6
1,1015,こむぎ　［小麦粉］　薄力粉　1等,367,14,8.3,1.5,0,75.8,2.5,0.4
1,1016,こむぎ　［小麦粉］　薄力粉　2等,368,14,9.3,1.9,0,74.3,2.6,0.5
1,1018,こむぎ　［小麦粉］　中力粉　1等,367,14,9,1.6,0,75.1,2.8,0.4
1,1019,こむぎ　［小麦粉］　中力粉　2等,368,14,9.7,1.8,0,74,2.1,0.5
1,1020,こむぎ　［小麦粉］　強力粉　1等,365,14.5,11.8,1.5,0,71.7,2.7,0.4
1,1021,こむぎ　［小麦粉］　強力粉　2等,366,14.5,12.6,1.7,0,70.6,2.1,0.5
1,1023,こむぎ　［小麦粉］　強力粉　全粒粉　,328,14.5,12.8,2.9,0,68.2,11.2,1.6
1,1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,352,9.8,10.1,1.9,1,73.6,2.8,3.9
1,1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,365,11.1,7.8,4,31,74.4,1.8,2.1
1,1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,331,8.3,10.2,1.2,0,70,2.6,10.3
1,1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,351,12.4,8.8,1.3,3,76.1,2.5,1.2
1,1026,こむぎ　［パン類］　食パン　　,264,38,9.3,4.4,0,46.7,2.3,1.6
1,1028,こむぎ　［パン類］　コッペパン　　,265,37,8.5,3.8,,49.1,2,1.6
1,1030,こむぎ　［パン類］　乾パン　　,393,5.5,9.5,4.4,,78.8,3.1,1.8
1,1031,こむぎ　［パン類］　フランスパン　　,279,30,9.4,1.3,0,57.5,2.7,1.8
1,1032,こむぎ　［パン類］　ライ麦パン　　,264,35,8.4,2.2,0,52.7,5.6,1.7
1,1033,こむぎ　［パン類］　ぶどうパン　　,269,35.7,8.2,3.5,,51.1,2.2,1.5
1,1034,こむぎ　［パン類］　ロールパン　　,316,30.7,10.1,9,,48.6,2,1.6
1,1035,こむぎ　［パン類］　クロワッサン　　,448,20,7.9,26.8,,43.9,1.8,1.4
1,1036,こむぎ　［パン類］　イングリッシュマフィン　　,228,46,8.1,3.6,,40.8,1.2,1.5
1,1037,こむぎ　［パン類］　ナン　　,262,37.2,10.3,3.4,0,47.6,2,1.5
1,1148,こむぎ　［パン類］　ベーグル　　,275,32.3,9.6,2,,54.6,2.5,1.4
1,1038,こむぎ　［うどん・そうめん類］　うどん　生　,270,33.5,6.1,0.6,0,56.8,1.2,3
1,1039,こむぎ　［うどん・そうめん類］　うどん　ゆで　,105,75,2.6,0.4,0,21.6,0.8,0.4
1,1041,こむぎ　［うどん・そうめん類］　干しうどん　乾　,348,13.5,8.5,1.1,0,71.9,2.4,5
1,1042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,126,70,3.1,0.5,0,25.8,0.7,0.6
1,1043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,356,12.5,9.5,1.1,0,72.7,2.5,4.2
1,1044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,127,70,3.5,0.4,0,25.8,0.9,0.3
1,1045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,342,14,9.3,1.5,0,68.9,1.8,6.3
1,1046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,127,70,3.5,0.6,0,25.5,1,0.4
1,1047,こむぎ　［中華めん類］　中華めん　生　,281,33,8.6,1.2,0,55.7,2.1,1.5
1,1048,こむぎ　［中華めん類］　中華めん　ゆで　,149,65,4.9,0.6,0,29.2,1.3,0.3
1,1049,こむぎ　［中華めん類］　蒸し中華めん　　,198,54,5.3,1.7,0,38.4,1.9,0.6
1,1050,こむぎ　［中華めん類］　干し中華めん　乾　,365,13,10.5,1.6,0,73,2.9,1.9
1,1051,こむぎ　［中華めん類］　干し中華めん　ゆで　,140,67,4.1,0.5,0,28.1,1.5,0.3
1,1052,こむぎ　［中華めん類］　沖縄そば　生　,284,32.3,9.2,2,0,54.2,2.1,2.3
1,1053,こむぎ　［中華めん類］　沖縄そば　ゆで　,147,65.5,5.2,0.8,0,28,1.5,0.5
1,1054,こむぎ　［中華めん類］　干し沖縄そば　乾　,351,13.7,12,1.7,0,67.8,2.1,4.8
1,1055,こむぎ　［中華めん類］　干し沖縄そば　ゆで　,148,65,5.2,0.6,0,28.6,1.5,0.6
1,1056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　,445,2,10.1,16.7,7,63.5,2.5,7.7
1,1057,こむぎ　［即席めん類］　即席中華めん　油揚げ　,458,3,10.1,19.1,3,61.4,2.4,6.4
1,1058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　,356,10,10.3,5.2,2,67.1,2.3,7.4
1,1059,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　,448,5,10.7,19.7,34,56.9,2.3,7.7
1,1060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　,436,10,8.4,18.9,1,58.1,2.4,4.6
1,1061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　,342,15,9,6.4,5,62.2,2.9,7.4
1,1062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　,451,5,10.9,20.1,6,56.6,1.9,7.4
1,1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾　,379,11.2,12.2,1.9,0,73.9,2.7,0.8
1,1064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,165,60.5,5.4,0.9,0,32,1.7,1.2
1,1149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,247,42,7.8,1.9,0,46.9,1.5,1.4
1,1065,こむぎ　［ふ類］　生ふ　　,163,60,12.7,0.8,0,26.2,0.5,0.3
1,1066,こむぎ　［ふ類］　焼きふ　釜焼きふ　,385,11.3,28.5,2.7,0,56.9,3.7,0.6
1,1067,こむぎ　［ふ類］　焼きふ　板ふ　,379,12.5,25.6,3.3,0,57.3,3.8,1.3
